document_number,company_code,fiscal_year,posting_date,document_type,gl_account,cost_center,amount_local,currency,debit_credit,vendor_customer,description
5000001,1000,2026,2026-01-05,SA,400000,CC100,15000000,IDR,D,,Revenue - Property Sales
5000002,1000,2026,2026-01-10,KR,500100,CC200,-8500000,IDR,C,V001,Invoice - Contractor Payment
5000003,1000,2026,2026-01-15,DR,110000,CC100,25000000,IDR,D,C001,AR - Tenant Rental
5000004,2000,2026,2026-02-01,SA,400000,CC300,12000000,IDR,D,,Revenue - Property Sales
5000005,2000,2026,2026-02-05,KR,500200,CC200,-6500000,IDR,C,V002,Invoice - Material Purchase
5000006,1000,2026,2026-02-20,DR,110000,CC100,18000000,IDR,D,C002,AR - Tenant Rental
5000007,1000,2026,2026-03-01,SA,400000,CC300,9500000,IDR,D,,Revenue - Management Fee
5000008,2000,2026,2026-03-10,KR,500100,CC200,-4200000,IDR,C,V001,Invoice - Contractor Payment
5000009,1000,2026,2026-03-15,DR,120000,CC100,30000000,IDR,D,C003,AR - Commercial Lease
5000010,2000,2026,2026-04-01,SA,400000,CC300,7500000,IDR,D,,Revenue - Management Fee
5000011,1000,2026,2026-04-12,KR,500300,CC200,-11000000,IDR,C,V003,Invoice - Maintenance Service
5000012,2000,2026,2026-05-01,DR,110000,CC100,22000000,IDR,D,C001,AR - Tenant Rental
5000013,1000,2026,2026-05-15,SA,400000,CC300,14000000,IDR,D,,Revenue - Property Sales
5000014,1000,2026,2026-06-01,KR,500100,CC200,-9800000,IDR,C,V002,Invoice - Contractor Payment
5000015,2000,2026,2026-06-10,DR,120000,CC100,28000000,IDR,D,C002,AR - Commercial Lease
